github.com/AlDanial/cloc v 1.98  T=8.98 s (1831.4 files/s, 289380.3 lines/s)
-----------------------------------------------------------------------------------
Language                         files          blank        comment           code
-----------------------------------------------------------------------------------
C++                               2970         123142          61976         617352
Java                              4022          70655         101892         316141
C/C++ Header                      3920          64125         115960         261300
JSON                               289             49              0         147287
Python                            1167          30051          30747         116172
C                                  279          21986          21388          91694
Markdown                           734          21955            389          66650
TypeScript                         298           5162           9740          36277
JavaScript                          92           1443           1492          28513
CMake                              561           5541           6123          24466
Maven                              199           1363           3182          21908
YAML                               244           2339           2590          20923
XML                                302           1246           3083          17551
Protocol Buffers                   240           4867          22040          16207
Bourne Shell                       322           2870           2567          13333
HTML                               121            475            389          12749
Qt                                  30              0              0           8949
Lua                                 85            820            534           4735
reStructuredText                   170           2720           3813           4093
CSS                                 10            766            219           3531
Jinja Template                      88            238            394           3501
Kotlin                              18            480            240           2292
TOML                                30            214            120           1583
Gradle                              50            339            219           1333
DOS Batch                           25            359             92           1157
PlantUML                            39            287             63           1107
AsciiDoc                            41            319             65            914
Go                                   7            104             43            913
make                                28            196            138            809
Flatbuffers                         32            115            232            487
Ant                                  5             87             44            430
Text                                18              5              0            385
Rust                                 2             34             47            225
Objective-C++                        3             33             21            149
Windows Resource File                8             12             10             97
Swift                                3             23             21             68
-----------------------------------------------------------------------------------
SUM:                             16452         364420         389873        1845281
-----------------------------------------------------------------------------------
