test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-auto-long-one,average,37.52,8.18,31.40,48.52,61.98
adapted_12b_core-auto-long-one-rci,average,35.51,5.40,29.16,45.69,61.80
adapted_12b_core-auto-long-three,average,38.34,8.36,33.23,50.59,61.17
adapted_12b_core-auto-long-three-rci,average,37.79,9.00,31.40,48.18,62.59
adapted_12b_core-auto-short-one,average,34.97,8.13,28.15,44.71,58.90
adapted_12b_core-auto-short-one-rci,average,32.45,5.83,24.87,41.58,57.51
adapted_12b_core-auto-short-three,average,35.66,5.08,30.77,45.34,61.43
adapted_12b_core-auto-short-three-rci,average,34.70,4.52,28.68,43.63,61.98
adapted_12b_core-xl-long-one,average,35.89,6.91,26.61,45.92,64.12
adapted_12b_core-xl-long-one-rci,average,30.39,4.27,20.27,36.33,60.70
adapted_12b_core-xl-long-three,average,35.57,5.20,28.07,46.26,62.75
adapted_12b_core-xl-long-three-rci,average,33.10,4.26,24.45,41.16,62.53
adapted_12b_core-xl-short-one,average,32.06,5.38,24.16,39.14,59.55
adapted_12b_core-xl-short-one-rci,average,25.60,4.08,15.14,24.31,58.88
adapted_12b_core-xl-short-three,average,31.75,5.10,24.31,39.82,57.78
adapted_12b_core-xl-short-three-rci,average,27.62,4.60,17.90,29.01,58.98
adapted_12b_core-long-zero,average,35.19,13.85,26.77,44.66,55.46
adapted_12b_core-long-zero-rci,average,35.52,13.31,26.71,44.64,57.43
adapted_12b_core-short-zero,average,26.18,9.59,21.79,34.67,38.66
adapted_12b_core-short-zero-rci,average,25.89,8.50,21.22,34.50,39.31
