test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
base_12b-xl-long-one,python,39.57,29.22,30.26,45.65,53.16
base_12b-xl-long-one,java,39.08,26.69,27.88,45.07,56.69
base_12b-xl-long-one,cpp,36.09,19.68,21.03,47.65,56.0
base_12b-xl-long-one,c,35.42,27.69,28.97,36.61,48.4
base_12b-xl-long-one,average,37.54,25.82,27.04,43.75,53.56
base_12b-xl-long-one-rci,python,40.35,29.68,30.73,46.25,54.74
base_12b-xl-long-one-rci,java,39.32,27.26,28.49,45.07,56.46
base_12b-xl-long-one-rci,cpp,34.99,18.66,19.94,46.9,54.46
base_12b-xl-long-one-rci,c,36.01,27.74,29.02,36.61,50.68
base_12b-xl-long-one-rci,average,37.67,25.83,27.04,43.71,54.09
