test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
base_12b-xl-short-one,python,37.62,24.3,30.13,44.86,51.19
base_12b-xl-short-one,java,30.87,24.65,25.98,37.02,35.83
base_12b-xl-short-one,cpp,31.14,18.61,19.7,41.96,44.31
base_12b-xl-short-one,c,27.8,18.44,22.12,32.76,37.9
base_12b-xl-short-one,average,31.86,21.5,24.48,39.15,42.31
base_12b-xl-short-one-rci,python,37.7,23.45,30.03,44.96,52.37
base_12b-xl-short-one-rci,java,31.4,25.54,27.07,37.62,35.37
base_12b-xl-short-one-rci,cpp,31.58,18.22,19.19,43.05,45.85
base_12b-xl-short-one-rci,c,27.64,17.8,21.96,32.66,38.13
base_12b-xl-short-one-rci,average,32.08,21.25,24.56,39.57,42.93
