id,language,reference,generated,bleu_score,bleu_1,bleu_2,bleu_3,bleu_4,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
1,python,Checks if a data type is a subtype of a specified base type,Determines if a given data type is a subtype of a specified base type.,67.29864884660302,80.0,71.42857142857143,61.53846153846154,58.333333333333336,0.888888888888889,0.8,0.888888888888889,0.888888888888889,0.9362407922744751,0.9477613568305969,0.9419658184051514
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a given value conforms to a specified datatype”,32.16094349518416,80.0,55.55555555555556,37.5,14.285714285714286,0.8181818181818182,0.5,0.7272727272727272,0.7272727272727272,0.882097601890564,0.8984110355377197,0.8901795744895935
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Validates if a value or list of values falls within the specified range for a signed or unsigned integer of a given bit width.”,26.68730618874673,50.0,28.0,20.833333333333332,17.391304347826086,0.6511627906976745,0.3902439024390244,0.5581395348837209,0.5581395348837209,0.8274097442626953,0.8729441165924072,0.8495672345161438
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a list of types based on a given datatype string.”,29.48993986902436,52.94117647058823,37.5,26.666666666666668,14.285714285714286,0.6,0.42857142857142855,0.5333333333333333,0.5333333333333333,0.7489144206047058,0.7989561557769775,0.7731263637542725
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.”,5.401157445454033,27.77777777777778,5.882352941176471,3.125,1.6666666666666667,0.3225806451612903,0.0689655172413793,0.2580645161290323,0.2580645161290323,0.6612657904624939,0.631967306137085,0.6462846398353577
6,python,Traverses a VSS tree to count the occurrences and collect the fully qualified paths of each node name,"Recursively populates a dictionary with unique node names, their counts, and fully qualified paths from a VSS node tree.”",8.668528067348738,34.78260869565217,13.636363636363637,4.761904761904762,2.5,0.43243243243243246,0.17142857142857143,0.3243243243243243,0.3243243243243243,0.732623815536499,0.7633894681930542,0.7476902604103088
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType, handling basic types and arrays.”",6.054506513220935,26.31578947368421,11.11111111111111,2.9411764705882355,1.5625,0.4444444444444444,0.24,0.4444444444444444,0.4444444444444444,0.7332967519760132,0.8285558223724365,0.7780212759971619
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its associated datatype, handling unsupported datatypes gracefully.”",6.0745880708766835,22.22222222222222,11.764705882352942,3.125,1.6666666666666667,0.30769230769230765,0.16666666666666666,0.30769230769230765,0.30769230769230765,0.6232829093933105,0.7265630960464478,0.6709718704223633
9,python,Recursively resolves and flattens a specification file and all its include dependencies,Recursively resolves and flattens a specification file and all its include dependencies”,90.36020036098445,91.66666666666667,90.9090909090909,90.0,88.88888888888889,1.0,1.0,1.0,1.0,0.9028775691986084,0.9548066854476929,0.9281163215637207
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads, merges, and logs a list of VSpec files and their include dependencies into a single VSpec object.”",20.331710659744477,45.45454545454545,23.80952380952381,15.0,10.526315789473685,0.6250000000000001,0.33333333333333337,0.5625000000000001,0.5625000000000001,0.79646897315979,0.8832804560661316,0.8376314043998718
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively merges a dictionary into a base dictionary, updating nested dictionaries as needed.”",7.655122720591221,37.5,13.333333333333334,3.5714285714285716,1.9230769230769231,0.41666666666666663,0.1818181818181818,0.41666666666666663,0.41666666666666663,0.734641969203949,0.7811897993087769,0.7572011947631836
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a constant UID string against a hexadecimal pattern and returns the original string if valid.,10.123734869668828,35.294117647058826,12.5,6.666666666666667,3.5714285714285716,0.42857142857142855,0.15384615384615383,0.42857142857142855,0.42857142857142855,0.623997688293457,0.6398482322692871,0.6318235993385315
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors.”",3.47681086066992,26.666666666666668,3.5714285714285716,1.9230769230769231,1.0416666666666667,0.22222222222222224,0.0,0.22222222222222224,0.22222222222222224,0.7109546065330505,0.7062782049179077,0.7086087465286255
14,python,Validates that a list of strings are all known datatypes,Validates a list of data types against a predefined set of allowed types.”,10.511846841633776,26.666666666666668,14.285714285714286,7.6923076923076925,4.166666666666667,0.34782608695652173,0.1904761904761905,0.34782608695652173,0.34782608695652173,0.6382465362548828,0.670132040977478,0.6538007855415344
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSS tree, including specified node attributes.”",14.247788801610149,60.0,21.428571428571427,7.6923076923076925,4.166666666666667,0.64,0.2608695652173913,0.4,0.4,0.8122953772544861,0.8350142240524292,0.8234981894493103
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Traverses up the VSS tree to find the instance root node, raising an exception if one is not found.”",4.546308713404574,27.272727272727273,4.761904761904762,2.5,1.3157894736842106,0.36363636363636365,0.06451612903225808,0.18181818181818182,0.18181818181818182,0.6684970855712891,0.7315649390220642,0.6986104846000671
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch hierarchy.”,14.458924666162856,38.46153846153846,25.0,9.090909090909092,5.0,0.6,0.4444444444444445,0.5,0.5,0.6412271857261658,0.7576085329055786,0.6945765018463135
18,python,Finds all child node IDs that belong to a specific parent name,Identifies child node IDs based on their parent name within a list of node IDs.”,11.203754340102181,35.294117647058826,18.75,6.666666666666667,3.5714285714285716,0.4444444444444445,0.23999999999999996,0.3703703703703704,0.3703703703703704,0.7027221918106079,0.75853431224823,0.7295624017715454
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing.”",51.84341074271373,63.1578947368421,55.55555555555556,47.05882352941177,43.75,0.6666666666666667,0.5806451612903225,0.6666666666666667,0.6666666666666667,0.7764846086502075,0.799690842628479,0.787916898727417
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,Traverses a VSS signal tree to generate a Protocol Buffer definition file with messages based on the signal data.”,2.5683319547529764,19.047619047619047,2.5,1.3157894736842106,0.6944444444444444,0.3333333333333333,0.0,0.19999999999999998,0.19999999999999998,0.6559953689575195,0.7023492455482483,0.6783814430236816
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collects the fully qualified names of instance nodes under each instance root node within a VSS tree.”,8.562365224473284,26.31578947368421,11.11111111111111,5.882352941176471,3.125,0.30303030303030304,0.12903225806451615,0.24242424242424243,0.24242424242424243,0.6700479984283447,0.6909455060958862,0.6803362965583801
22,python,Determines if a VSS node is a leaf based on its data type,Determines if a VSS node is a leaf node based on its data type.”,67.39047062564734,81.25,73.33333333333333,64.28571428571429,53.84615384615385,0.962962962962963,0.8799999999999999,0.962962962962963,0.962962962962963,0.8913226127624512,0.9356768131256104,0.9129613637924194
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch with a non-instance data type.”,28.295596283263514,46.666666666666664,35.714285714285715,23.076923076923077,16.666666666666668,0.5925925925925927,0.4,0.5925925925925927,0.5925925925925927,0.7894902229309082,0.8542146682739258,0.8205780982971191
24,python,Checks if a VSS node represents a branch instance,Checks if a VSSNode represents an instance of a VSSDataBranch”,18.575057999133595,60.0,22.22222222222222,12.5,7.142857142857143,0.631578947368421,0.23529411764705882,0.5263157894736842,0.5263157894736842,0.7312127947807312,0.8488671779632568,0.785659670829773
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Calculates a 32-bit FNV-1a hash value for a given byte string.”,12.874330508144842,40.0,21.428571428571427,7.6923076923076925,4.166666666666667,0.5217391304347826,0.1904761904761905,0.4347826086956522,0.4347826086956522,0.7477784156799316,0.8092250823974609,0.7772892713546753
26,java,Lazily initializes and returns an audio card presenter with data models for media and in-call status,Lazily initializes and returns an audio card presenter with data models for media and in-call status,100.00000000000004,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,java,Lazily initializes and returns the audio card view fragment,Lazily initializes and returns the audio card view fragment,100.00000000000004,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,java,Inflates a card fragment's layout and initializes its view components,"Inflates a layout, finds view elements, and returns the root view for a card fragment.”",6.336859268415405,31.57894736842105,11.11111111111111,2.9411764705882355,1.5625,0.5384615384615385,0.25,0.3846153846153846,0.3846153846153846,0.7200276851654053,0.7555786371231079,0.7373749017715454
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Updates the visibility and properties of an image button based on the provided descriptive text control content.”,2.527719992092097,15.789473684210526,2.7777777777777777,1.4705882352941178,0.78125,0.2162162162162162,0.0,0.1081081081081081,0.1081081081081081,0.6527710556983948,0.6609048247337341,0.6568127870559692
30,java,Lazily inflates and initializes a descriptive text layout view on first access,Lazily inflates a view stub to create a descriptive text layout and initializes its associated text and image views.”,15.821285888349262,42.857142857142854,25.0,10.526315789473685,5.555555555555555,0.5806451612903226,0.3448275862068966,0.3870967741935484,0.3870967741935484,0.7077839374542236,0.7973327040672302,0.749894380569458
31,java,Updates and displays a card header view with a new title and icon,"Updates the header view's visibility, title, and icon on the main thread.",6.608973813188645,33.333333333333336,7.142857142857143,3.8461538461538463,2.0833333333333335,0.46153846153846156,0.25,0.46153846153846156,0.46153846153846156,0.7746372222900391,0.7949801087379456,0.7846768498420715
32,java,Lazily inflates and returns a text block layout view from a ViewStub,Lazily inflates a view stub to obtain a text block layout view and its associated text and tap-for-more elements.”,20.82198320914845,42.857142857142854,25.0,15.789473684210526,11.11111111111111,0.5454545454545454,0.3225806451612903,0.4242424242424242,0.4242424242424242,0.706327497959137,0.8065072298049927,0.7531003952026367
33,java,Gets the media browser service component from a given package,Retrieves the component name of a media browsing service within a specified package.,4.44458779458587,42.857142857142854,3.8461538461538463,2.0833333333333335,1.1363636363636365,0.5217391304347826,0.0,0.4347826086956522,0.4347826086956522,0.7878738641738892,0.8456653356552124,0.8157472610473633
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"Determines whether a component should be added to launchables based on hide lists, custom media components, and component type.",8.216107324922536,36.36363636363637,9.523809523809524,5.0,2.6315789473684212,0.42105263157894735,0.1111111111111111,0.3157894736842105,0.3157894736842105,0.7779885530471802,0.7602753043174744,0.769029974937439
35,java,Sets the media source and finishes the current activity,"Selects a media source and finishes the activity, handling potential connection errors.",27.824623288353134,42.857142857142854,30.76923076923077,25.0,18.181818181818183,0.5714285714285715,0.4210526315789474,0.5714285714285715,0.5714285714285715,0.7095600366592407,0.8186710476875305,0.7602204084396362
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors","Checks if a specified activity within a package is distraction optimized using the CarPackageManager, handling potential connection errors.",21.951524426618455,45.0,26.31578947368421,16.666666666666668,11.764705882352942,0.7096774193548387,0.4827586206896552,0.7096774193548387,0.7096774193548387,0.7385203838348389,0.8443695306777954,0.7879058122634888
37,java,"Asynchronously creates, configures, and adds a task view to a parent view group","Asynchronously creates, configures, and adds a task view to a parent view group.",93.06048591020995,93.75,93.33333333333333,92.85714285714286,92.3076923076923,1.0,1.0,1.0,1.0,0.9911500811576843,0.995105504989624,0.9931238293647766
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","Retrieves a preferred maps intent from configuration, falling back to the default if no preferred activity is found or valid.”",14.345334371446112,39.130434782608695,22.727272727272727,9.523809523809524,5.0,0.5,0.23529411764705882,0.33333333333333326,0.33333333333333326,0.6148650646209717,0.6693598628044128,0.6409562230110168
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,Lazily initializes and adds home card modules to the fragment manager based on configured class names.”,8.59076483566362,22.22222222222222,11.764705882352942,6.25,3.3333333333333335,0.28571428571428575,0.15384615384615383,0.28571428571428575,0.28571428571428575,0.705680251121521,0.781539797782898,0.7416753172874451
40,java,Removes dangling tasks that are in multi-window mode,Removes dangling tasks from the activity task manager when they are in multi-window mode.,23.793665482062607,46.666666666666664,35.714285714285715,23.076923076923077,8.333333333333334,0.6666666666666667,0.5454545454545454,0.6666666666666667,0.6666666666666667,0.826930582523346,0.9258731603622437,0.8736092448234558
41,java,Updates the mode from the intent and sets the UI title accordingly,"Parses the application mode from the intent, and updates the title of the activity and toolbar.”",15.071676257541073,42.10526315789474,16.666666666666668,11.764705882352942,6.25,0.6428571428571429,0.3846153846153846,0.5714285714285715,0.5714285714285715,0.7576380968093872,0.8257442116737366,0.7902264595031738
42,java,Lazily initializes and returns the Chronometer view on first access,Lazily initializes and returns a chronometer view and its separator from a layout.”,17.395797375642235,33.333333333333336,21.428571428571427,15.384615384615385,8.333333333333334,0.5217391304347826,0.380952380952381,0.5217391304347826,0.5217391304347826,0.7075999975204468,0.7936208248138428,0.7481459379196167
43,java,Blurs and scales an image to set as a card's visible background,"Lazily inflates a media layout view, finds its subviews, and initializes the media control bar.",2.55404966647159,11.11111111111111,2.9411764705882355,1.5625,0.8333333333333334,0.14285714285714288,0.0,0.07142857142857144,0.07142857142857144,0.5773358345031738,0.6313932538032532,0.603155791759491
44,java,Blurs and scales an image to set as a card's visible background,"Updates the card's background image by scaling, blurring, and setting it to the background view.",3.211547431691929,27.77777777777778,2.9411764705882355,1.5625,0.8333333333333334,0.41379310344827586,0.07407407407407407,0.20689655172413793,0.20689655172413793,0.7418276071548462,0.7705755233764648,0.7559283375740051
45,java,Makes the media view visible and sets its title and subtitle,Updates the visibility and text content of a media layout view with a given title and subtitle.”,9.313775329024091,36.8421052631579,11.11111111111111,5.882352941176471,3.125,0.5,0.15384615384615385,0.42857142857142855,0.42857142857142855,0.6909924149513245,0.7501782178878784,0.7193700075149536
46,java,"Starts and shows a chronometer if a start time is positive; otherwise, hides it",Updates the visibility and state of a chronometer to display audio duration based on a start time.”,9.917720727091444,31.57894736842105,16.666666666666668,5.882352941176471,3.125,0.3870967741935484,0.20689655172413793,0.3870967741935484,0.3870967741935484,0.6413694024085999,0.604265570640564,0.6222648620605469
47,java,Registers a callback on a newly added call,Registers a callback to monitor changes and events related to an incoming call.,11.359354890271161,28.571428571428573,15.384615384615385,8.333333333333334,4.545454545454546,0.380952380952381,0.2105263157894737,0.380952380952381,0.380952380952381,0.7151535153388977,0.7879107594490051,0.749771237373352
48,java,Resets state and unregisters the callback when a call is removed,"Clears call-related data, notifies the presenter of an update, and unregisters a callback when a call is removed.",25.91641360720012,42.857142857142854,30.0,21.05263157894737,16.666666666666668,0.6,0.42857142857142855,0.5333333333333333,0.5333333333333333,0.7348721027374268,0.8526816964149475,0.7894057035446167
49,java,Updates the ongoing call view model with a formatted phone number and UI controls,"Formats a phone number and updates the card content with the formatted number, subtitle, elapsed time, and call control buttons, then notifies the presenter.",6.120673474735602,27.586206896551722,7.142857142857143,3.7037037037037037,1.9230769230769231,0.4736842105263159,0.16666666666666669,0.3157894736842105,0.3157894736842105,0.6467917561531067,0.7087916731834412,0.6763738393783569
50,java,"Initializes the Mute, End Call, and Dialpad buttons for an in-call user interface","Initializes mute, end call, and dialpad control buttons with associated actions.”",6.608973813188645,33.333333333333336,7.142857142857143,3.8461538461538463,2.0833333333333335,0.56,0.34782608695652173,0.56,0.56,0.780937135219574,0.76211017370224,0.7714087963104248
51,cpp,Sends a D-Bus message over the connection and returns a boolean indicating success,Sends a D-Bus message over the connection and returns a boolean indicating success,100.00000000000004,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552
52,cpp,Creates a D-Bus signal message addressed to a specific client,Creates a D-Bus signal message addressed to a specific client”,88.01117367933934,90.0,88.88888888888889,87.5,85.71428571428571,1.0,1.0,1.0,1.0,0.9141738414764404,0.9857365489006042,0.9486073851585388
53,cpp,Notifies a newly added listener if the D-Bus connection is already available,Notifies a listener with an AVAILABLE status if the D-Bus connection is connected.”,29.256127307315065,53.333333333333336,35.714285714285715,23.076923076923077,16.666666666666668,0.7407407407407408,0.48000000000000004,0.6666666666666666,0.6666666666666666,0.7349741458892822,0.8006769418716431,0.7664200067520142
54,cpp,"For an active connection, adds a thread to a list to be joined on exit, avoiding duplicates",Associates a thread with a connection for cleanup on exit.”,5.91534742194449,50.0,18.181818181818183,5.0,2.7777777777777777,0.5185185185185185,0.16,0.37037037037037035,0.37037037037037035,0.752909779548645,0.6950034499168396,0.7227987051010132
55,cpp,A callback that wakes up a main loop context if it has not been destroyed,A callback that wakes up a main loop context if it exists and is still valid.”,57.30574043798692,61.111111111111114,58.8235294117647,56.25,53.333333333333336,0.7096774193548386,0.689655172413793,0.7096774193548386,0.7096774193548386,0.7853908538818359,0.8443485498428345,0.8138032555580139
56,cpp,A callback to stop monitoring a D-Bus watch and clean up its associated data,"A callback that removes a D-Bus watch, stopping it if ready and clearing associated data.”",12.149176141753365,44.44444444444444,23.529411764705884,6.25,3.3333333333333335,0.5806451612903225,0.3448275862068965,0.5806451612903225,0.5806451612903225,0.7626675367355347,0.8496677279472351,0.8038204312324524
57,cpp,"A libdbus callback that creates, starts, or stops a D-Bus watch based on its readiness status",Handles D-Bus watch toggling by managing a DBusWatch object and starting or stopping the watch based on its readiness”,15.663840573309688,36.8421052631579,22.22222222222222,11.764705882352942,6.25,0.48648648648648646,0.34285714285714286,0.37837837837837834,0.37837837837837834,0.6597110033035278,0.7028525471687317,0.6805987358093262
