id,language,reference,generated,bleu_score,bleu_1,bleu_2,bleu_3,bleu_4,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
1,python,"Validates that 'check' and 'base' are known types, then returns true if the 'check' type is identical to the 'base' type or if its name is found within the 'base' type's predefined list of subtypes",Checks if a given type `check` is a subtype of a base type `base` by verifying if `check` is present in the base type's subtypes list or if `check` is equal to `base`.,2.657509168522829,29.545454545454547,2.3255813953488373,1.1904761904761905,0.6097560975609756,0.5428571428571428,0.14705882352941174,0.34285714285714286,0.34285714285714286,0.7259360551834106,0.6969522833824158,0.7111489772796631
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Validates if a given value conforms to a specified datatype by retrieving the corresponding type checker function and applying it to the value.,3.6431272114063575,29.166666666666668,4.3478260869565215,2.272727272727273,1.1904761904761905,0.39215686274509803,0.08163265306122448,0.35294117647058826,0.35294117647058826,0.718846321105957,0.6449505090713501,0.6798964142799377
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Validates if a given integer or list of integers falls within a specified range based on whether it's signed and the number of bits.”,4.791332423462419,46.15384615384615,8.0,2.0833333333333335,1.0869565217391304,0.4528301886792452,0.07843137254901962,0.33962264150943394,0.33962264150943394,0.7783075571060181,0.7721917629241943,0.7752376198768616
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves type information (name, conversion function, and validation rules) from a list of defined types within a class based on a provided datatype string.”",4.759465490908452,30.0,10.344827586206897,1.7857142857142858,0.9259259259259259,0.4,0.16666666666666666,0.32,0.32,0.6928367018699646,0.6531187295913696,0.6723917126655579
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes from a list, matching a given fully qualified name (FQN) prefix, while excluding direct matches and logging the results for debugging.”",2.888679060775857,20.0,2.9411764705882355,1.5151515151515151,0.78125,0.29629629629629634,0.07692307692307691,0.22222222222222224,0.22222222222222224,0.6180455088615417,0.6418589353561401,0.6297271847724915
6,python,Recursively traverses a VSS node tree to populate a dictionary with the occurrence count and a list of fully qualified paths for each unique node name,"Recursively populates a dictionary with unique node names from a VSSNode tree, tracking the number of occurrences and associated fully qualified names (FQN) for each node.”",8.53110433487697,51.61290322580645,16.666666666666668,3.4482758620689653,1.7857142857142858,0.6153846153846154,0.20000000000000004,0.4230769230769231,0.4230769230769231,0.7742444276809692,0.8151267766952515,0.7941598296165466
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Maps a string representation of a data type (e.g., 'int32', 'string[]') to an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and array types by setting the `is_array` flag if applicable.”",12.11618035990288,38.18181818181818,12.962962962962964,7.547169811320755,5.769230769230769,0.4000000000000001,0.11764705882352941,0.34285714285714286,0.34285714285714286,0.6457456350326538,0.6542202234268188,0.6499552726745605
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an `ApiGearProperty` object from a `VSSNode`'s data and a specified datatype, returning `None` if the datatype is unsupported.”",24.579577986789843,58.62068965517241,35.714285714285715,25.925925925925927,15.384615384615385,0.5098039215686274,0.2040816326530612,0.39215686274509803,0.39215686274509803,0.7652313709259033,0.7405297160148621,0.752677857875824
9,python,"Recursively parses a given specification file and any files it includes, returning a single, flattened list of all resulting VSpec objects","Recursively gathers vehicle specification (`VSpec`) objects by traversing include paths from a root specification file, resolving paths and accumulating specifications with optional prefixes.”",3.511476270817333,26.666666666666668,3.4482758620689653,1.7857142857142858,0.9259259259259259,0.31818181818181823,0.09523809523809525,0.22727272727272724,0.22727272727272724,0.6341181993484497,0.6521334052085876,0.6429996490478516
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec objects from specified files and directories, combining them into a single VSpec and logging the process, while raising an exception if no specs are loaded.”",21.082923292618357,70.58823529411765,33.333333333333336,15.625,9.67741935483871,0.6666666666666666,0.3125,0.606060606060606,0.606060606060606,0.8348356485366821,0.8104645609855652,0.8224695920944214
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary `base` with the contents of another dictionary `update`, merging nested dictionaries while overwriting non-dictionary values.”",14.643937864373886,42.30769230769231,20.0,12.5,4.3478260869565215,0.5454545454545454,0.1904761904761905,0.45454545454545453,0.45454545454545453,0.769683301448822,0.7378116846084595,0.7534106373786926
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates if a given string `v` conforms to the 'constUID' format (starting with '0x' followed by eight hexadecimal characters) and returns the string if valid, otherwise raises an assertion error.”",3.1820027069808767,35.13513513513514,2.7777777777777777,1.4285714285714286,0.7352941176470589,0.4067796610169491,0.03508771929824562,0.23728813559322037,0.23728813559322037,0.7325813174247742,0.7603950500488281,0.7462290525436401
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates and validates a `VSSRaw` object from a dictionary, resolving its attributes and handling potential validation errors by logging a debug message and returning the partially initialized object.”",3.176605498590708,24.242424242424242,3.125,1.6129032258064515,0.8333333333333334,0.24561403508771928,0.07272727272727272,0.17543859649122806,0.17543859649122806,0.6892521381378174,0.6936653852462769,0.6914517283439636
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates a list of datatypes against a predefined set of allowed datatypes, raising an assertion error if an invalid datatype is encountered.",3.7667979294958727,33.333333333333336,4.3478260869565215,2.272727272727273,1.1904761904761905,0.2857142857142857,0.0425531914893617,0.16326530612244897,0.16326530612244897,0.6799315214157104,0.6444728374481201,0.6617274880409241
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a tree structure, including node names and specified attributes, by traversing the tree and formatting each node's information.”",5.166045454134253,44.44444444444444,7.6923076923076925,2.0,1.0416666666666667,0.4897959183673469,0.1276595744680851,0.20408163265306126,0.20408163265306126,0.7624374628067017,0.7231137752532959,0.7422551512718201
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Traverses up the parent chain of a VSSNode to find the root instance node, raising an exception if no instance root exists or if the current node is not an instance.”",19.97118807514704,61.76470588235294,36.36363636363637,15.625,6.451612903225806,0.6470588235294118,0.3636363636363636,0.5,0.5,0.7548646926879883,0.7128128409385681,0.7332363128662109
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,Recursively counts the depth of instance children within a tree-like structure where each node has a 'children' attribute and data that may be a 'VSSDataBranch' with an 'is_instance' flag.,8.810348847243409,40.625,12.903225806451612,6.666666666666667,1.7241379310344827,0.5185185185185185,0.30769230769230765,0.5185185185185185,0.5185185185185185,0.7785636782646179,0.8200609087944031,0.7987737059593201
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Identifies child node IDs from a list by filtering for nodes whose expected parent matches a specified name.”,11.154288433080788,45.0,21.05263157894737,5.555555555555555,2.9411764705882355,0.5405405405405405,0.28571428571428575,0.4864864864864865,0.4864864864864865,0.731882631778717,0.7387131452560425,0.7352820038795471
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object by name, returning a specified default value if the attribute is not found or is None.”",50.4080217979218,69.23076923076923,52.0,45.833333333333336,39.130434782608695,0.8181818181818182,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8452298045158386,0.8527724742889404,0.8489843606948853
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Generates Protocol Buffer definitions from a signal tree by extracting data types, writing imports, and recursively creating messages for each branch node.”",5.076950165777899,46.15384615384615,16.0,2.0833333333333335,1.0869565217391304,0.4615384615384615,0.16,0.3846153846153846,0.3846153846153846,0.7413647174835205,0.6806181073188782,0.709693968296051
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate","Extracts metadata about instances within a VSS tree structure, grouping instance names under their respective root fully qualified names (FQNs) while skipping nodes with further instance children.”",6.938247178254631,31.25,12.903225806451612,3.3333333333333335,1.7241379310344827,0.3103448275862069,0.10714285714285714,0.24137931034482757,0.24137931034482757,0.6408319473266602,0.6441383957862854,0.6424809098243713
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a node in a VSS tree is a leaf node by verifying if its data is an instance of the VSSDataDatatype class.”,18.79777274487072,53.84615384615385,32.0,16.666666666666668,4.3478260869565215,0.7142857142857143,0.45,0.7142857142857143,0.7142857142857143,0.8169668912887573,0.8623021245002747,0.8390225172042847
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,Checks if a node represents a VSS branch by verifying if its data is a VSSDataBranch instance and if that instance's 'is_instance' attribute is false.”,7.334959170370916,37.93103448275862,10.714285714285714,3.7037037037037037,1.9230769230769231,0.5777777777777777,0.3255813953488372,0.4888888888888889,0.4888888888888889,0.7217197418212891,0.7203928828239441,0.7210556864738464
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a given node represents an instance of a VSS branch by verifying if its data is a VSSDataBranch and if that branch is marked as an instance.”,12.627447243144081,25.806451612903224,13.333333333333334,10.344827586206897,7.142857142857143,0.4347826086956522,0.18181818181818182,0.391304347826087,0.391304347826087,0.6634800434112549,0.6932838559150696,0.6780546307563782
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string by iteratively updating a hash value with each byte using a prime number and bitwise operations.”,26.406890736473112,64.51612903225806,33.333333333333336,24.137931034482758,17.857142857142858,0.6349206349206349,0.32786885245901637,0.5396825396825397,0.5396825396825397,0.8064433336257935,0.7760823965072632,0.7909716367721558
26,java,"Lazily initializes and returns a `HomeAudioCardPresenter`, setting its data models with both a `MediaViewModel` and an `InCallModel` if a `ViewModelProvider` is available, otherwise logging a warning and using only the `InCallModel`","Retrieves a CardPresenter, lazily initializing it with either a MediaViewModel obtained from a ViewModelProvider or a default InCallModel if no provider is available.”",2.3515159537454786,46.15384615384615,4.0,2.0833333333333335,1.0869565217391304,0.4444444444444444,0.15384615384615383,0.2962962962962963,0.2962962962962963,0.7230095863342285,0.6571594476699829,0.6885136365890503
27,java,"Lazily initializes and returns an `AudioFragment`, bidirectionally linking it with its presenter upon first creation","Retrieves a HomeCardFragment (specifically an AudioFragment) as a card view, lazily initializing it if it doesn't already exist and setting up presenter dependencies.”",2.0899410246084282,21.428571428571427,1.8518518518518519,0.9615384615384616,0.5,0.3076923076923077,0.05405405405405405,0.2051282051282051,0.2051282051282051,0.6039749383926392,0.658012866973877,0.629836916923523
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates a layout file (`card_fragment`) to create a view, finds the `card_name` and `card_icon` views within the inflated layout, and returns the root view.”",21.055668975171354,47.61904761904762,26.829268292682926,15.0,10.256410256410257,0.6666666666666666,0.2608695652173913,0.5833333333333334,0.5833333333333334,0.7431319952011108,0.8092708587646484,0.7747925519943237
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null","Updates the visibility and content of an ImageButton based on the provided DescriptiveTextWithControlsView.Control, setting its icon and click listener if the control is not null, otherwise hiding the button.”",10.62251311026331,45.714285714285715,14.705882352941176,6.0606060606060606,3.125,0.5454545454545454,0.22641509433962265,0.4,0.4,0.6805967688560486,0.7478979825973511,0.7126619815826416
