id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validate if a value conforms to a specified datatype.,Checks if a value matches a given datatype using a type checker.,13.67,50.0,18.18,50.0,78.05
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Validate if integer values are within a specified range and signedness.,"Check if integer values are within a specified range, considering signedness and bit width.",5.73,54.55,12.9,36.36,82.18
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieve type information based on a datatype string from a class's types attribute.”,"Find type details (name, function, and constraints) matching a given datatype string within a class's type definitions.”",2.46,30.3,0.0,18.18,67.33
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Extract namespaced datatypes from a fully qualified name”,Find namespaced datatypes matching a given fully qualified name prefix”,5.63,24.0,8.7,24.0,63.04
7,python,Converts a string-based data type definition into an ApiGearType object,"Map a type string to an ApiGearType, handling arrays and basic data types.”","Convert a type string to an ApiGearType, supporting arrays and common data types.”",6.15,50.0,9.09,33.33,78.45
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generate an ApiGearProperty object from a VSSNode based on its datatype.”,Create an ApiGearProperty object representing a VSSNode's data and datatype.”,3.71,18.18,0.0,18.18,69.97
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, handling identifiers and logging.","Loads, merges, and combines vehicle specification files from specified paths, logging details and raising exceptions for errors.",13.08,45.16,20.69,38.71,74.1
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively update a dictionary with another dictionary, merging nested dictionaries.”","Recursively merge a dictionary into another, updating nested dictionaries.”",12.19,60.0,22.22,60.0,82.47
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern for a constant UID format.,Validates a string to ensure it conforms to the '0x[0-9A-Fa-f]{8}' format for a constant UID.,4.71,31.25,13.33,18.75,56.26
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Create and validate a VSSRaw object from a dictionary, handling potential validation errors.","Create and validate a VSSRaw object from a dictionary, returning it even if validation fails.",5.44,20.0,0.0,20.0,76.42
14,python,Validates that a list of strings are all known datatypes,Validate a list of datatypes against a predefined set.”,Verify that a list of values contains only valid datatypes.”,22.42,50.0,33.33,50.0,71.61
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Render a tree structure with node names and specified attributes as string representations.”,"Render a tree structure, displaying node names and attribute values.”",7.19,34.78,0.0,34.78,74.74
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Traverse up the tree to find the instance root node.,Recursively traverse up the tree to locate the instance root node.,7.21,48.0,8.7,24.0,73.85
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree structure.,Recursively counts the depth of instance children in a hierarchical data structure.,14.46,57.14,42.11,47.62,74.81
18,python,Finds all child node IDs that belong to a specific parent name,Find child node IDs based on a given parent name,Find node IDs that have a specific name as their parent,17.42,60.87,28.57,52.17,81.4
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieve an attribute from an object, returning a default value if not found or None.”","Safely retrieve an attribute from an object, returning a specified default value if not found.”",15.28,43.75,26.67,43.75,73.4
