id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,This function validates if a given value conforms to a specified datatype using a type checker.,This function checks if a value matches a given datatype by using a type checker and raising an exception for unsupported datatypes.,7.58,41.18,12.5,41.18,72.77
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,"This function validates if an integer or a list of integers falls within a specified range, considering whether it's signed or unsigned and the number of bits.","This function checks if an integer or a list of integers is a valid value within a given bit range, accounting for signed or unsigned representation.",7.94,62.22,18.6,44.44,84.42
4,python,Looks up a type definition tuple by its string name from a list of types,"The function retrieves type information (name, callable, and constraints) from a class's defined types based on a given datatype string.",The function searches a class's types for a matching datatype and returns its associated details (callable and constraints).,2.57,23.53,0.0,11.76,64.08
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,This function identifies and returns a dictionary of namespaced datatypes matching a given fully qualified name (FQN) prefix from a list of dynamic datatypes.,This function searches a list of dynamic datatypes to find namespaced datatypes whose prefixes match a given fully qualified name (FQN).,3.96,27.78,5.88,22.22,63.61
7,python,Converts a string-based data type definition into an ApiGearType object,"The function maps a string representation of a data type (e.g., ""int32"", ""string"", ""double[]"") to an `ApiGearType` object, handling array types and basic data types.","The function converts a string representation of a data type to an `ApiGearType` object, recognizing basic types, arrays, and custom types.",3.65,50.0,33.33,50.0,75.18
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"This function generates an `ApiGearProperty` object from a `VSSNode` and datatype, handling unsupported datatypes and populating the description if available.","This function creates an `ApiGearProperty` object based on a `VSSNode`'s data and datatype, returning `None` for unsupported types.",1.65,13.33,0.0,13.33,61.78
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"This function loads and merges multiple VSpec files, combining their includes and definitions into a single VSpec object, while logging the process and raising an exception if no specs are loaded.","This function loads, merges, and returns a combined VSpec object from a list of specification files, handling includes and logging the process.",3.95,44.44,5.88,27.78,74.52
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively merges dictionaries, updating nested dictionaries and overwriting non-dictionary values.","Recursively updates a dictionary with another, merging nested dictionaries and overwriting non-dictionary values.",50.39,80.0,60.87,72.0,83.36
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"This function validates if a given string is a valid hexadecimal constant UID (format: 0x followed by 8 hexadecimal characters) and returns the string if valid, otherwise None.","This function validates if a given string matches the format of a constant UID (0x followed by 8 hexadecimal characters) and returns the string if valid, otherwise None.",3.17,30.0,5.26,25.0,61.08
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","This function creates and attempts to resolve a `VSSRaw` object from a dictionary, handling potential validation or model errors by returning an initialized but incomplete object.","This function creates a `VSSRaw` object from input data, attempts to resolve it, and returns it even if resolution fails, logging a debug message in case of errors.",4.82,23.26,9.76,18.6,73.75
14,python,Validates that a list of strings are all known datatypes,"The function validates a list of datatypes against a predefined set, raising an assertion error for invalid entries.","The function validates a list of datatypes, ensuring each is present in a predefined set and raising an error if not.",6.59,32.26,13.79,32.26,63.86
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","The function renders a tree structure into a string representation, including node names and specified attributes.","The function generates a string representation of a tree, displaying node names and their specified attributes.",8.23,55.17,14.81,34.48,79.4
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"The function recursively traverses up the VSSNode tree to find the root instance node, handling cases where the current node is not an instance or has no parent.","The function recursively traverses up the VSSNode tree to locate the root of an instance, raising an exception if no instance root exists.",7.67,37.84,17.14,21.62,72.81
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree-like data structure.,Recursively calculates the depth of instance branches within a hierarchical data structure.,19.34,57.14,42.11,47.62,74.85
18,python,Finds all child node IDs that belong to a specific parent name,The function identifies node IDs that have a specific name as their expected parent.,The function returns a list of node IDs whose expected parent is a given name.,6.15,37.04,8.0,29.63,72.1
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","This function safely retrieves an attribute from an object, returning a default value if the attribute is not found or is None.","This function retrieves an attribute from an object, providing a default value if the attribute is missing or None.",43.01,66.67,52.94,66.67,86.63
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"The code traverses a signal tree to generate Protocol Buffer (proto) definitions, including imports and message structures, from vehicle signal data.",The code generates Protocol Buffer (proto) definitions for vehicle signals by traversing a signal tree and creating message structures with optional fields and static UIDs.,1.89,27.78,0.0,22.22,65.45
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,The function extracts and organizes instance names under their respective root FQNs from a VSSNode tree structure.,The function identifies and groups instance names belonging to the same root node within a VSSNode tree.,2.15,12.12,0.0,12.12,67.18
22,python,Determines if a VSS node is a leaf based on its data type,The function checks if a VSSNode is a leaf node containing VSSDataDatatype data.,The function determines if a given VSSNode represents a leaf node with data of type VSSDataDatatype.,7.44,55.17,22.22,48.28,71.14
23,python,Checks if a VSS node is a branch that is not an instance,The function checks if a VSS node represents a branch with a non-instance data type.,The function determines if a VSS node is a branch and its data is not an instance.,46.61,73.33,64.29,73.33,82.79
24,python,Checks if a VSS node represents a branch instance,The function checks if a VSSNode represents an instance of a VSSDataBranch.,The function determines if a given VSSNode's data is an instance of a VSSDataBranch.,6.25,33.33,9.09,25.0,73.77
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,This code calculates a 32-bit FNV-1a hash value for a given byte string.,This code computes a 32-bit FNV-1a hash of a byte string.,13.29,43.48,19.05,34.78,80.39
28,java,Inflates a card fragment's layout and initializes its view components,"This code inflates a layout for a card fragment, finds its title and icon views, and returns the root view.",This code inflates a layout for a card fragment and initializes views for its title and icon.,6.72,57.14,30.77,50.0,79.66
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided","This method updates an image button's icon, click listener, and visibility based on the provided control content.",This method configures and displays an image button based on associated control data.,1.85,12.12,0.0,6.06,63.72
30,java,Lazily inflates and initializes a descriptive text layout view on first access,"This method lazily initializes and returns a view containing descriptive text elements (title, subtitle, image, and ""tap for more"" text) from a ViewStub, caching it for subsequent use.","This method lazily initializes and returns a cached view containing descriptive text elements (title, subtitle, image, and ""tap for more"" text) inflated from a ViewStub.",2.96,37.84,5.71,27.03,66.65
31,java,Updates and displays a card header view with a new title and icon,"This code updates the UI elements (visibility, title, and icon) of a card header view on the main thread.","This code updates the card header's UI elements (visibility, title, and icon) within the main activity's UI thread.",3.92,36.36,19.35,36.36,71.04
32,java,Lazily inflates and returns a text block layout view from a ViewStub,"This code lazily initializes and returns a `View` representing a text block layout, inflating it from a `ViewStub` if it doesn't already exist.","This code lazily initializes and returns a `View` for a text block layout, inflating it from a `ViewStub` and retrieving child views if it doesn't already exist.",11.33,55.0,36.84,50.0,72.01
33,java,Gets the media browser service component from a given package,This code retrieves the component name of a media browsing service within a specified package using PackageManager.,This code retrieves the component name of the default media browsing service for a given package.,10.52,53.85,16.67,46.15,80.23
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"This code determines whether a component should be added to a launchable list based on hide rules, custom media component settings, and component type.","This code determines if a component should be added to a launchable list, considering hidden apps, custom media components, and the component's application type.",6.54,45.45,14.29,36.36,73.59
35,java,Sets the media source and finishes the current activity,"This code selects a media source and finishes the activity, handling potential connection errors.","This code sets a media source to browse mode and finishes the activity, gracefully handling car disconnection errors.",9.38,51.85,24.0,51.85,72.08
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors","This code checks if a specified activity within a given package is optimized for distraction mitigation in a car environment, handling potential connection errors.","This code determines if an activity is distraction optimized using a car package manager, gracefully handling car disconnection scenarios.",4.78,43.75,20.0,37.5,75.71
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","This code retrieves the preferred map activity intent, prioritizing user-configured options or a default system map application.","This code determines the best intent to launch for map activities, considering user preferences and a fallback default.",3.0,35.29,0.0,17.65,60.02
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,"This code initializes and displays a set of HomeCardModule fragments within a FragmentTransaction, dynamically creating them via reflection based on configured class names.","This code dynamically creates and displays HomeCardModule fragments using reflection, adding them to the UI via a FragmentTransaction.",4.24,26.67,7.14,26.67,69.57
40,java,Removes dangling tasks that are in multi-window mode,This code removes multi-window tasks from the ActivityTaskManager if they are found in a list of task appearance information.,This code removes dangling multi-window tasks from the ActivityTaskManager based on a list of task appearance information.,2.83,37.04,16.0,29.63,74.49
41,java,Updates the mode from the intent and sets the UI title accordingly,"The code updates the application's mode based on intent data, setting the title accordingly.",The code updates the application's mode and title based on incoming intent data.,4.25,53.85,8.33,38.46,75.17
42,java,Lazily initializes and returns the Chronometer view on first access,"This code lazily initializes and returns a Chronometer view, retrieving it from the layout only if it hasn't been initialized before.","This code lazily initializes and returns a Chronometer view, retrieving it from the layout if it's null.",9.92,50.0,30.77,42.86,70.85
43,java,Blurs and scales an image to set as a card's visible background,"This code lazily initializes and returns a media layout view, inflating it from a ViewStub if it doesn't already exist and setting up its title, subtitle, and playback controls.","This code lazily initializes and returns a media layout view, inflating it from a ViewStub if it's null and initializing associated UI elements and controls.",1.65,15.38,0.0,15.38,58.73
44,java,Blurs and scales an image to set as a card's visible background,"This code updates the card's background image by scaling a drawable to a square, blurring it, and setting it as the background.","This code updates the card's background with a blurred, scaled version of a drawable image.",3.23,34.48,7.41,20.69,73.8
