id,language,reference,generated,bleu_score,bleu_1,bleu_2,bleu_3,bleu_4,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'","Validates that a given datatype is supported, then uses the datatype's associated constructor to check if the provided value conforms to that datatype”",4.332432800664463,29.166666666666668,8.695652173913043,2.272727272727273,1.1904761904761905,0.3461538461538462,0.15999999999999998,0.23076923076923075,0.23076923076923075,0.7029856443405151,0.6653995513916016,0.6836764216423035
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Validates if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit width.,7.650408802945557,50.0,12.0,4.166666666666667,2.1739130434782608,0.5660377358490566,0.19607843137254902,0.4528301886792452,0.4528301886792452,0.8316930532455444,0.7804696559906006,0.8052676320075989
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Searches a predefined list of data types for a match to the provided datatype string and returns a tuple containing the datatype name, a callable, and a list of subtypes if found, otherwise returns None.”",4.300191892945154,37.5,10.256410256410257,1.3157894736842106,0.6756756756756757,0.5245901639344263,0.16949152542372883,0.32786885245901637,0.32786885245901637,0.6830321550369263,0.7135902643203735,0.6979768872261047
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes from a list of dynamic datatypes, matching a given fully qualified name prefix.",4.514532812276756,21.73913043478261,9.090909090909092,2.380952380952381,1.25,0.2608695652173913,0.13636363636363635,0.21739130434782608,0.21739130434782608,0.6723809242248535,0.626663327217102,0.6487176418304443
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type (e.g., 'int32', 'string[]', 'double') into an ApiGearType object, handling basic types, floating-point types, booleans, strings, and arrays while mapping custom types to their corresponding ApiGearBasicType values.”",5.130010185814212,34.61538461538461,9.803921568627452,2.0,1.0204081632653061,0.3661971830985915,0.11594202898550723,0.28169014084507044,0.28169014084507044,0.645297110080719,0.6556457877159119,0.6504303216934204
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Generates an ApiGearProperty object based on a VSSNode's datatype and data, returning None if the datatype is unsupported.”",8.255042329530307,57.142857142857146,20.0,10.526315789473685,5.555555555555555,0.48000000000000004,0.25,0.44000000000000006,0.44000000000000006,0.7713343501091003,0.7336736917495728,0.7520328164100647
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges VSpec objects from a list of specification files, including any files they reference, logging the process and raising an exception if no specifications are loaded.”",15.250878337965478,62.5,22.580645161290324,13.333333333333334,6.896551724137931,0.5625000000000001,0.22580645161290322,0.46875000000000006,0.46875000000000006,0.7775847911834717,0.7582813501358032,0.7678117752075195
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively merges the contents of an 'update' dictionary into a 'base' dictionary, overwriting existing values or creating new keys, and deeply merging nested dictionaries.”",13.380161378318954,53.57142857142857,25.925925925925927,11.538461538461538,2.0,0.5833333333333334,0.30434782608695654,0.2916666666666667,0.2916666666666667,0.73818039894104,0.752967894077301,0.7455008625984192
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates that a given string 'v' conforms to the 'constUID' format (starting with '0x' followed by eight hexadecimal characters) and returns the string if valid, otherwise returning None.",3.6574641542120716,43.75,3.225806451612903,1.6666666666666667,0.8620689655172413,0.456140350877193,0.03636363636363636,0.24561403508771928,0.24561403508771928,0.7747310400009155,0.7638081312179565,0.7692307829856873
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a VSSRaw object from input data and an optional fully qualified name, attempts to resolve it, and returns the object, logging a debug message if resolution fails due to validation or model errors.”",23.020656163897,46.15384615384615,28.94736842105263,18.91891891891892,11.11111111111111,0.5396825396825397,0.32786885245901637,0.507936507936508,0.507936507936508,0.7572817206382751,0.7985145449638367,0.7773517370223999
14,python,"Asserts that each string in the input list is a valid datatype by checking against a master list, returning the original list if all values are valid","Validates that all provided string values are present in a predefined list of supported datatypes, raising an assertion error if an invalid datatype is encountered, and returning the original list if all values are valid.”",23.193107586718153,43.58974358974359,21.05263157894737,18.91891891891892,16.666666666666668,0.5161290322580645,0.26666666666666666,0.45161290322580644,0.45161290322580644,0.7165840268135071,0.7824891805648804,0.7480878829956055
15,python,"Traverses a VSSNode tree to generate a formatted string, displaying each node's name followed by the values of any specified attributes found on it","Generates a string representation of a VSSNode tree, recursively traversing the tree and formatting each node's name and specified attributes (if present) into a readable, indented structure.",9.31580969196188,40.625,16.129032258064516,6.666666666666667,1.7241379310344827,0.49056603773584906,0.23529411764705882,0.33962264150943394,0.33962264150943394,0.7874491214752197,0.8162978887557983,0.8016140460968018
16,python,"Recursively traverses up the parent hierarchy to find and return the first non-instance ancestor node and the traversal depth, raising an exception if the starting node is not a branch or if no root is found","Recursively traverses up the VSS node tree to find the root instance node, incrementing the depth with each level, and raising an exception if an instance root cannot be found.”",16.09863943061043,55.88235294117647,21.21212121212121,12.5,6.451612903225806,0.5671641791044775,0.21538461538461537,0.5074626865671642,0.5074626865671642,0.7669397592544556,0.7267033457756042,0.7462796568870544
17,python,Recursively calculates the depth of the first-found branch of children where each node is a `VSSDataBranch` with its `is_instance` flag set,"Recursively traverses the children of a VSSDataNode, returning the depth of the nearest instance branch, or 0 if no instance branch is found.”",11.188294598960788,40.74074074074074,11.538461538461538,8.0,4.166666666666667,0.5217391304347826,0.13636363636363635,0.30434782608695654,0.30434782608695654,0.6901874542236328,0.6928689479827881,0.6915256381034851
18,python,Returns a list of node IDs from an input list whose expected parent's name matches the provided `name`,Filters a list of node IDs to return only those whose expected parent is a specified name.”,21.38190785329915,42.10526315789474,27.77777777777778,17.647058823529413,12.5,0.5,0.35294117647058826,0.5,0.5,0.7286808490753174,0.7195885181427002,0.7241061329841614
19,python,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Safely retrieves an attribute from an object by name, returning a provided default value if the attribute is not found or is None.”",37.99813583078825,65.38461538461539,44.0,33.333333333333336,21.73913043478261,0.7727272727272727,0.5714285714285713,0.7727272727272727,0.7727272727272727,0.8422552347183228,0.8494024872779846,0.8458137512207031
20,python,Generates a `proto3` file from a VSS tree by first writing import statements for complex data types and then converting each branch in the tree into a corresponding protobuf message,"Traverses a VSS node tree to generate a Protocol Buffer definition file, including necessary imports for custom datatypes and defining messages based on branch nodes within the tree.”",4.130149367827995,32.25806451612903,6.666666666666667,1.7241379310344827,0.8928571428571429,0.3448275862068965,0.07142857142857142,0.2758620689655172,0.2758620689655172,0.7366029620170593,0.7040271759033203,0.7199466824531555
21,python,"Traverses a VSS tree to find all terminal instance branches, grouping their relative names into a dictionary where each key is the fully qualified name of the original branch they instantiate","Traverses a VSS node tree in pre-order, identifies instance branches without further nested instances, extracts their fully qualified names relative to their root instance, and aggregates them into a dictionary mapping root instance FQNs to lists of their child instance names.”",7.14376522892222,36.95652173913044,13.333333333333334,4.545454545454546,1.1627906976744187,0.4383561643835616,0.16901408450704225,0.3287671232876712,0.3287671232876712,0.6713888645172119,0.7212144732475281,0.6954103112220764
22,python,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Determines if a VSSNode represents a leaf node by checking if its 'data' attribute is an instance of VSSDataDatatype.”,40.27672046365773,66.66666666666667,45.0,31.57894736842105,27.77777777777778,0.7567567567567567,0.5142857142857143,0.7567567567567567,0.7567567567567567,0.8862338066101074,0.9326884150505066,0.9088678359985352
23,python,Returns `True` if the given `VSSNode`'s data is a `VSSDataBranch` and its `is_instance` attribute is `False`,"Checks if a VSSNode represents a branch with an uninstantiated data structure, indicating a potential VSS branch.”",1.7264787277726739,20.0,2.6315789473684212,1.3888888888888888,0.7352941176470589,0.22857142857142856,0.0,0.22857142857142856,0.22857142857142856,0.6165584921836853,0.5735660791397095,0.594285786151886
24,python,Returns True if the node's data is a VSSDataBranch and its 'is_instance' attribute is True,Checks if a VSSNode represents an instance of a VSSDataBranch by verifying both its data type and an 'is_instance' flag within the data.,8.040993409646845,38.46153846153846,12.0,4.166666666666667,2.1739130434782608,0.4390243902439025,0.10256410256410256,0.2926829268292683,0.2926829268292683,0.7022352814674377,0.7424299716949463,0.7217735052108765
25,python,"Calculates a 32-bit FNV-1 hash for a given byte string by iterating through each byte, multiplying the current hash by the FNV prime, and then performing a bitwise XOR with the byte",Calculates a 32-bit FNV-1a hash value for a given byte string using a specific prime number and bitwise operations.,18.93967459841451,68.18181818181819,38.095238095238095,30.0,21.05263157894737,0.5454545454545455,0.30188679245283023,0.509090909090909,0.509090909090909,0.8207603096961975,0.7089835405349731,0.7607882022857666
28,java,"Inflates the `card_fragment` layout, finds and assigns the card's title and icon views, and returns the resulting root view","Inflates a layout (`card_fragment`) to create a `View`, finds the `card_name` and `card_icon` views within it, and returns the inflated `View` as the fragment's root.”",17.596310550010546,40.42553191489362,19.565217391304348,13.333333333333334,9.090909090909092,0.68,0.20833333333333331,0.52,0.52,0.7017436027526855,0.7811971306800842,0.7393418550491333
29,java,"Updates an `ImageButton`'s icon and click listener from a content object and makes it visible, or hides the button if the content is null","Updates the visibility and properties (icon and click listener) of an `ImageButton` based on the provided `DescriptiveTextWithControlsView.Control` content, showing it if the content is not null and hiding it otherwise.",19.35484394909585,47.5,23.076923076923077,15.789473684210526,8.108108108108109,0.5714285714285714,0.2592592592592593,0.42857142857142855,0.42857142857142855,0.6997932195663452,0.7708513736724854,0.7336056232452393
