test_name,CodeBLEU,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
v2_adapted_12b_core-auto-long-one,-0.05,-0.3,-0.85,-0.9,-0.5,-0.75
v2_adapted_12b_core-auto-long-one-rci,-0.35,-2.3,-0.91,-1.16,-0.61,-0.59
v2_adapted_12b_core-auto-long-three,0.04,-0.87,-0.02,-0.49,-0.84,-0.53
v2_adapted_12b_core-auto-long-three-rci,0.08,-0.93,-0.86,-0.54,-1.03,-0.74
v2_adapted_12b_core-auto-short-one,-0.41,1.21,0.22,1.34,0.66,0.37
v2_adapted_12b_core-auto-short-one-rci,-0.49,0.7,-0.34,1.72,0.3,-0.1
v2_adapted_12b_core-auto-short-three,0.55,2.55,0.96,2.73,2.07,0.16
v2_adapted_12b_core-auto-short-three-rci,0.16,1.06,-2.2,0.21,-0.7,-0.56
v2_adapted_12b_core-xl-long-one,-1.66,-1,-2.02,0.29,-1.33,-0.59
v2_adapted_12b_core-xl-long-one-rci,-1.83,0.13,0.39,0.78,-0.33,-0.23
v2_adapted_12b_core-xl-long-three,-1.4,-2.23,-2.35,-1.01,-1.78,-0.71
v2_adapted_12b_core-xl-long-three-rci,-1.72,-0.66,0.59,0.36,0.03,-0.11
v2_adapted_12b_core-xl-short-one,-0.86,3.22,1.36,3.03,2.58,0.74
v2_adapted_12b_core-xl-short-one-rci,-0.91,2.95,1.57,4.2,2.09,0.56
v2_adapted_12b_core-xl-short-three,-0.87,1.53,-1.7,1.11,-0.97,-0.88
v2_adapted_12b_core-xl-short-three-rci,-0.82,4.43,-0.23,2.25,-0.57,-0.72
v2_adapted_12b_core-long-zero,-1.03,0.39,-0.79,0.39,1.03,0.79
v2_adapted_12b_core-long-zero-rci,-1.15,-0.12,0.21,0.4,1.44,0.74
v2_adapted_12b_core-short-zero,4.48,1.34,-0.68,0.78,0.58,0.52
v2_adapted_12b_core-short-zero-rci,3.75,0.78,2.21,2.15,1.83,0.94
v2_adapted_12b_extended-auto-long-one,-0.41,1.17,-0.12,1.19,0.46,-0.6
v2_adapted_12b_extended-auto-long-one-rci,-0.91,-0.7,0.31,0.98,0.31,-0.5
v2_adapted_12b_extended-auto-long-three,0.42,-0.25,-0.46,0.15,-0.54,-0.79
v2_adapted_12b_extended-auto-long-three-rci,0.18,0.05,-0.92,0.43,-0.2,-0.79
v2_adapted_12b_extended-auto-short-one,-0.92,3.11,2.29,3.02,2.45,0.85
v2_adapted_12b_extended-auto-short-one-rci,-1.21,3.13,1.56,3.72,1.82,0.2
v2_adapted_12b_extended-auto-short-three,-0.39,1.87,1.36,3.18,2.41,0.21
v2_adapted_12b_extended-auto-short-three-rci,-0.63,1.57,-0.71,2.17,0.76,-0.1
v2_adapted_12b_extended-xl-long-one,-1.21,-0.47,-0.43,1.22,-0.72,-0.58
v2_adapted_12b_extended-xl-long-one-rci,-1.12,0.69,1.33,0.91,-0.02,-0.4
v2_adapted_12b_extended-xl-long-three,-0.77,-1.28,-0.25,0.65,-0.41,-0.31
v2_adapted_12b_extended-xl-long-three-rci,-1.2,0.06,2,1.69,1.05,0.05
v2_adapted_12b_extended-xl-short-one,-0.42,1.87,1.32,1.9,1.11,0.21
v2_adapted_12b_extended-xl-short-one-rci,-0.56,3.38,3.06,4.29,2.45,0.72
v2_adapted_12b_extended-xl-short-three,-1.04,1.26,-3.03,0.45,-2.33,-1.18
v2_adapted_12b_extended-xl-short-three-rci,-1.55,5.47,-1.2,2.89,-0.6,-0.74
v2_adapted_12b_extended-long-zero,-0.56,1.77,0.47,2.23,2.41,1.22
v2_adapted_12b_extended-long-zero-rci,-0.72,1.3,1.51,2.02,2.66,0.89
v2_adapted_12b_extended-short-zero,2.76,1.28,0.03,1.14,1.7,0.44
v2_adapted_12b_extended-short-zero-rci,2.19,1.69,2.38,2.65,2.6,0.78
