test_name,no. RCI different,percentage different
adapted_12b_core_generation_auto_long_one,12,13.636363636363637
adapted_12b_core_generation_auto_long_three,17,19.318181818181817
adapted_12b_core_generation_auto_short_one,11,12.5
adapted_12b_core_generation_auto_short_three,15,17.045454545454547
adapted_12b_core_generation_xl_long_one,21,23.863636363636363
adapted_12b_core_generation_xl_long_three,14,15.909090909090908
adapted_12b_core_generation_xl_long_zero,16,18.181818181818183
adapted_12b_core_generation_xl_short_one,14,15.909090909090908
adapted_12b_core_generation_xl_short_three,13,14.772727272727273
adapted_12b_core_generation_xl_short_zero,13,14.772727272727273
adapted_12b_core_summarization_auto_long_one,68,77.27272727272727
adapted_12b_core_summarization_auto_long_three,70,79.54545454545455
adapted_12b_core_summarization_auto_short_one,72,81.81818181818181
adapted_12b_core_summarization_auto_short_three,73,82.95454545454545
adapted_12b_core_summarization_xl_long_one,78,88.63636363636364
adapted_12b_core_summarization_xl_long_three,76,86.36363636363636
adapted_12b_core_summarization_xl_long_zero,87,98.86363636363636
adapted_12b_core_summarization_xl_short_one,77,87.5
adapted_12b_core_summarization_xl_short_three,74,84.0909090909091
adapted_12b_core_summarization_xl_short_zero,80,90.9090909090909
