test_name,no. RCI different,percentage different
base_12b_generation_auto_long_one,25,28.40909090909091
base_12b_generation_auto_long_three,23,26.136363636363637
base_12b_generation_auto_short_one,35,39.77272727272727
base_12b_generation_auto_short_three,25,28.40909090909091
base_12b_generation_xl_long_one,40,45.45454545454545
base_12b_generation_xl_long_three,40,45.45454545454545
base_12b_generation_xl_long_zero,28,31.818181818181817
base_12b_generation_xl_short_one,33,37.5
base_12b_generation_xl_short_three,37,42.04545454545455
base_12b_generation_xl_short_zero,19,21.59090909090909
base_12b_summarization_auto_long_one,87,98.86363636363636
base_12b_summarization_auto_long_three,87,98.86363636363636
base_12b_summarization_auto_short_one,84,95.45454545454545
base_12b_summarization_auto_short_three,87,98.86363636363636
base_12b_summarization_xl_long_one,86,97.72727272727273
base_12b_summarization_xl_long_three,88,100.0
base_12b_summarization_xl_long_zero,88,100.0
base_12b_summarization_xl_short_one,88,100.0
base_12b_summarization_xl_short_three,87,98.86363636363636
base_12b_summarization_xl_short_zero,88,100.0
