test_name,no. RCI different,percentage different
gemma-3-12b-it_generation_auto_long_one_results,25,28.40909090909091
gemma-3-12b-it_generation_auto_long_three_results,23,26.136363636363637
gemma-3-12b-it_generation_auto_short_one_results,35,39.77272727272727
gemma-3-12b-it_generation_auto_short_three_results,25,28.40909090909091
gemma-3-12b-it_generation_xl_long_one_results,40,45.45454545454545
gemma-3-12b-it_generation_xl_long_three_results,40,45.45454545454545
gemma-3-12b-it_generation_xl_long_zero_results,28,31.818181818181817
gemma-3-12b-it_generation_xl_short_one_results,33,37.5
gemma-3-12b-it_generation_xl_short_three_results,37,42.04545454545455
gemma-3-12b-it_generation_xl_short_zero_results,19,21.59090909090909
gemma-3-12b-it_summarization_auto_long_one_results,87,98.86363636363636
gemma-3-12b-it_summarization_auto_long_three_results,87,98.86363636363636
gemma-3-12b-it_summarization_auto_short_one_results,84,95.45454545454545
gemma-3-12b-it_summarization_auto_short_three_results,87,98.86363636363636
gemma-3-12b-it_summarization_xl_long_one_results,86,97.72727272727273
gemma-3-12b-it_summarization_xl_long_three_results,88,100.0
gemma-3-12b-it_summarization_xl_long_zero_results,88,100.0
gemma-3-12b-it_summarization_xl_short_one_results,88,100.0
gemma-3-12b-it_summarization_xl_short_three_results,87,98.86363636363636
gemma-3-12b-it_summarization_xl_short_zero_results,88,100.0
