Path: acme/tests/TestProject/modules/TestModuleTypeExe/src/main.cpp, Characters: 16
Path: muesli/include/muesli/Muesli.h, Characters: 0
Path: python-dlt/tests/__init__.py, Characters: 0
Path: EclipseDataSpaceConnector/core/control-plane/catalog-core/README.md, Characters: 10
Path: EclipseDataSpaceConnector/system-tests/README.md, Characters: 15
Path: ifex/packaging/__init__.py, Characters: 0
Path: ifex/packaging/entrypoints/__init__.py, Characters: 0
Path: ifex/models/__init__.py, Characters: 0
Path: ifex/models/ifex/__init__.py, Characters: 0
Path: ifex/output_filters/__init__.py, Characters: 0
Path: ifex/output_filters/templates/__init__.py, Characters: 1
Path: ifex/output_filters/schema/__init__.py, Characters: 0
Path: ifex/tests/__init__.py, Characters: 0
Path: ifex/input_filters/__init__.py, Characters: 0
Path: graphql-vss-data-server/cpp-server/implementation/franca_idl/vehicle/currentlocation.cpp, Characters: 0
Path: graphql-vss-data-server/cpp-server/implementation/franca_idl/vehicle/powertrain/combustionengine/engine.cpp, Characters: 0
Path: eene-nav-bandit-sim/eene-nav-bandit-sim/__init__.py, Characters: 0
Path: eene-nav-bandit-sim/eene-nav-bandit-sim/core/__init__.py, Characters: 0
Path: eene-nav-bandit-sim/eene-nav-bandit-sim/util/__init__.py, Characters: 0
Path: eene-nav-bandit-sim/eene-nav-bandit-sim/navigation/__init__.py, Characters: 0
Path: eene-nav-bandit-sim/eene-nav-bandit-sim/tests/__init__.py, Characters: 0
Path: graphql_schema2cpp_codegen/vss_deploy/model/deploy/types/__init__.py, Characters: 0
Path: graphql_schema2cpp_codegen/vss_deploy/model/franca_idl/__init__.py, Characters: 0
Path: graphql_schema2cpp_codegen/graphql_schema2cpp_codegen/__init__.py, Characters: 0
Path: graphql_schema2cpp_codegen/graphql_schema2cpp_codegen/generators/cppgraphqlgen/collectors/__init__.py, Characters: 0
Path: joynr/javascript/libjoynr-js/src/main/js/joynr/start/settings/defaultSettings.ts, Characters: 12
Path: joynr/javascript/libjoynr-js/src/test/resources/mosquitto-test.conf, Characters: 14
Path: cdsp/cdsp/knowledge-layer/connector/README.md, Characters: 3
Path: cdsp/cdsp/knowledge-layer/connector/json-rdf-convertor/README.md, Characters: 3
Path: cdsp/cdsp/knowledge-layer/symbolic-reasoner/README.md, Characters: 3
Path: cdsp/cdsp/knowledge-layer/symbolic-reasoner/pellet/README.md, Characters: 3
Path: cdsp/cdsp/knowledge-layer/symbolic-reasoner/pellet/pellet-lib/README.md, Characters: 3
Path: cdsp/cdsp/knowledge-layer/symbolic-reasoner/pellet/pellet-adapter/README.md, Characters: 3
Path: cdsp/cdsp/knowledge-layer/symbolic-reasoner/examples/README.md, Characters: 3
Path: vehicle_signal_manager/sample_rules/simple2.initial.yaml, Characters: 17
Path: paho.mqtt.java/.travis.yml, Characters: 15
Path: selfsupervised_flow/unsup_flow/experiment/raft/layers/__init__.py, Characters: 0
Path: odxtools/tests/__init__.py, Characters: 0
Path: odxtools/examples/__init__.py, Characters: 0
Path: vss2graphql_schema/vss2graphql_schema/__init__.py, Characters: 0
Path: vss2graphql_schema/vss2graphql_schema/graphql_generators/__init__.py, Characters: 0
Path: vss2graphql_schema/vss2graphql_schema/graphql_generators/model/__init__.py, Characters: 0
Path: vss2graphql_schema/vss2graphql_schema/graphql_generators/emitters/__init__.py, Characters: 0
Path: vss2graphql_schema/vss2graphql_schema/graphql_generators/layer_generators/__init__.py, Characters: 0
Path: vss2graphql_schema/vss2graphql_schema/graphql_generators/node_filters/__init__.py, Characters: 0
Path: vss2graphql_schema/vss2graphql_schema/graphql_generators/vss_generators/__init__.py, Characters: 0
Path: ramses-composer/PyAPITests/modules/test_constants_module.py, Characters: 17
Path: ramses-composer/components/libApplication/tests/testData/scripts/m1.lua, Characters: 9
Path: ramses-composer/components/libApplication/tests/testData/scripts/m2.lua, Characters: 9
