filepath,pii_types_found
EclipseDataSpaceConnector/README.md,[EMAIL_ADDRESS]
EclipseDataSpaceConnector/core/common/boot/src/main/java/org/eclipse/edc/boot/system/DefaultServiceExtensionContext.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/main/java/org/eclipse/edc/boot/system/DependencyGraph.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/main/java/org/eclipse/edc/boot/system/ExtensionLoader.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/main/java/org/eclipse/edc/boot/system/ServiceLocatorImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/main/java/org/eclipse/edc/boot/system/injection/InjectorImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/main/java/org/eclipse/edc/boot/system/runtime/BaseRuntime.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/test/java/org/eclipse/edc/boot/system/DependencyGraphTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/test/java/org/eclipse/edc/boot/system/ExtensionLoaderTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/boot/src/test/java/org/eclipse/edc/boot/system/ReflectiveObjectFactoryTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/CoreServicesExtension.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/base/EdcHttpClientImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/base/OkHttpClientFactory.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/base/agent/ParticipantAgentServiceImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/event/EventRouterImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/health/HealthCheckServiceImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/security/keyparsers/JwkParser.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/security/keyparsers/PemParser.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/store/InMemoryStatefulEntityStore.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/main/java/org/eclipse/edc/connector/core/store/ReflectionBasedQueryResolver.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/test/java/org/eclipse/edc/connector/core/base/CommandHandlerRegistryImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/test/java/org/eclipse/edc/connector/core/base/EdcHttpClientImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/connector-core/src/test/java/org/eclipse/edc/connector/core/store/ReflectionBasedQueryResolverTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/junit/src/main/java/org/eclipse/edc/junit/extensions/DependencyInjectionExtension.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/junit/src/main/java/org/eclipse/edc/junit/extensions/EdcRuntimeExtension.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/policy-engine/src/main/java/org/eclipse/edc/policy/engine/PolicyEngineImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/policy-engine/src/main/java/org/eclipse/edc/policy/engine/ScopeFilter.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/state-machine/src/main/java/org/eclipse/edc/statemachine/StateMachineManager.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/token-core/src/main/java/org/eclipse/edc/token/JwtGenerationService.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/token-core/src/main/java/org/eclipse/edc/token/TokenDecoratorRegistryImpl.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/token-core/src/main/java/org/eclipse/edc/token/TokenValidationServiceImpl.java,"[IP_ADDRESS_6A], [REDACTED_SECRET]"
EclipseDataSpaceConnector/core/common/token-core/src/main/java/org/eclipse/edc/token/rules/AudienceValidationRule.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/from/JsonObjectFromCatalogTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/from/JsonObjectFromDatasetTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/from/JsonObjectFromPolicyTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/from/JsonObjectFromQuerySpecTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToActionTransformer.java,[IP_ADDRESS_6A]
