kept_file,exact_duplicate_of_kept_file
aosp_device_covesa_emulator/CustomCarLauncher/res/values-en-rCA/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-en-rAU/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-en-rCA/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-en-rGB/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-en-rCA/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-en-rIN/strings.xml
ardep/samples/config_jumpers/prj.conf,ardep/samples/digital_input_interrupt/prj.conf
ardep/samples/digital_input_interrupt/boards/ardep.overlay,ardep/samples/digital_input_interrupt/boards/nucleo_g474re.overlay
ardep/samples/gpio_expander/prj.conf,ardep/samples/can/prj.conf
ardep/samples/hardware_tester/Kconfig,ardep/samples/hardware_test/Kconfig
ardep/samples/hardware_tester/Kconfig,ardep/samples/led/Kconfig
ardep/samples/lin/commander/prj.conf,ardep/samples/lin/responder/prj.conf
ardep/samples/lin/commander_scheduler/boards/ardep.overlay,ardep/samples/lin/commander/boards/ardep.overlay
ardep/samples/lin/commander_scheduler/boards/ardep.overlay,ardep/samples/lin2can/commander/boards/ardep.overlay
ardep/samples/lin/commander_scheduler/boards/ardep.overlay,ardep/samples/lin2can/gateway/boards/ardep.overlay
ardep/samples/uds/CMakeLists.txt,ardep/samples/can/CMakeLists.txt
vss-tools/obsolete/vspec2aaproperties/templates/android_vhal_mapping_cpp.tpl,vss-tools/obsolete/vspec2aaproperties/templates/android_vhal_mapping_cpp.j2
vss-tools/tests/vspec/test_datatypes/expected.apigear/A.solution.yaml,vss-tools/tests/vspec/test_allowed/expected.apigear/A.solution.yaml
vss-tools/tests/vspec/test_datatypes/expected.apigear/A.solution.yaml,vss-tools/tests/vspec/test_comment/expected.apigear/A.solution.yaml
vss-tools/tests/vspec/test_datatypes/expected.apigear/A.solution.yaml,vss-tools/tests/vspec/test_instances/expected.apigear/A.solution.yaml
vss-tools/tests/vspec/test_datatypes/expected.apigear/A.solution.yaml,vss-tools/tests/vspec/test_min_max/expected.apigear/A.solution.yaml
vss-tools/tests/vspec/test_datatypes/expected.apigear/A.solution.yaml,vss-tools/tests/vspec/test_overlay_struct/expected.apigear/A.solution.yaml
vss-tools/tests/vspec/test_datatypes/expected.apigear/A.solution.yaml,vss-tools/tests/vspec/test_overlay_struct_array/expected.apigear/A.solution.yaml
vss-tools/tests/vspec/test_datatypes/expected.apigear/A.solution.yaml,vss-tools/tests/vspec/test_structs/expected-signals-types.apigear/A.solution.yaml
vss-tools/tests/vspec/test_overlay_struct/struct1.vspec,vss-tools/tests/vspec/test_overlay_struct_array/struct1.vspec
vss-tools/tests/vspec/test_structs/expected-signals-types.apigear/A.module.yaml,vss-tools/tests/vspec/test_structs/out.apigear/A.module.yaml
vss-tools/tests/vspec/test_units/quantities.yaml,vss-tools/tests/vspec/test_units_no_quantity/test_quantities.yaml
