kept_file,near_duplicate_of_kept_file
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-am/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-as/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-be/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-bg/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-bn/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-el/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-fa/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-gu/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-hi/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-hy/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ja/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ka/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-kk/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-km/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-kn/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ko/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ky/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-lo/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-mk/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ml/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-mn/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-mr/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-my/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ne/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-or/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-pa/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ru/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-si/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-sr/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ta/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-te/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-th/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-uk/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-ur/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-zh-rCN/strings.xml
aosp_device_covesa_emulator/CustomCarLauncher/res/values-ar/strings.xml,aosp_device_covesa_emulator/CustomCarLauncher/res/values-zh-rHK/strings.xml
